Software Version,3.09.07,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\11-29-22 TNFa ELISA Mikayla Ainsley.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/29/22,,,,,,,,,,,,,
Time,5:09:16 PM,,,,,,,,,,,,,
Reader Type:,Cytation5,,,,,,,,,,,,,
Reader Serial Number:,1601074,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  450, 540",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.3,,,,,,,,,,,,,
Actual Temperature:,21.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.496,0.483,0.438,0.429,0.49,0.483,1.255,1.216,1.234,1.207,1.193,1.229,450
,,0.038,0.048,0.048,0.059,0.049,0.05,0.048,0.045,0.056,0.051,0.054,0.049,540
,B,1.198,1.143,1.096,1.055,1.118,1.102,1.144,1.229,1.081,1.028,1.051,1.165,450
,,0.044,0.055,0.058,0.044,0.048,0.044,0.048,0.057,0.053,0.044,0.044,0.046,540
,C,0.66,0.524,0.467,0.417,0.497,0.522,0.166,0.146,0.147,0.135,0.137,0.136,450
,,0.108,0.047,0.046,0.038,0.04,0.042,0.037,0.04,0.039,0.037,0.039,0.036,540
,D,0.656,0.579,0.573,2.39,2.414,2.351,0.469,0.479,0.473,1.631,1.772,1.674,450
,,0.046,0.045,0.05,0.064,0.066,0.066,0.048,0.059,0.042,0.053,0.054,0.053,540
,E,0.669,0.586,0.558,2.445,2.345,2.509,0.503,0.497,0.534,1.781,1.85,1.629,450
,,0.047,0.046,0.042,0.06,0.06,0.093,0.049,0.039,0.045,0.051,0.065,0.053,540
,F,0.214,0.154,0.172,0.126,0.133,0.147,0.136,0.132,0.122,0.123,0.151,0.127,450
,,0.035,0.035,0.058,0.034,0.036,0.044,0.048,0.041,0.035,0.036,0.056,0.034,540
,G,2.146,1.548,0.97,0.649,0.329,0.251,0.2,0.112,0.123,0.117,0.124,0.118,450
,,0.069,0.051,0.043,0.042,0.035,0.041,0.044,0.034,0.034,0.033,0.038,0.033,540
,H,2.116,1.461,0.917,0.509,0.323,0.226,0.177,0.123,0.119,0.12,0.113,0.117,450
,,0.053,0.052,0.045,0.038,0.037,0.04,0.043,0.044,0.039,0.039,0.034,0.035,540
