row,column,type,standard_conc,strain
A,1,sample,NA,NA
A,2,sample,NA,NA
A,3,sample,NA,NA
A,4,sample,NA,NA
A,5,sample,NA,NA
A,6,sample,NA,NA
A,7,sample,NA,NA
A,8,sample,NA,NA
A,9,sample,NA,NA
A,10,sample,NA,NA
A,11,sample,NA,NA
A,12,sample,NA,NA
B,1,sample,NA,NA
B,2,sample,NA,NA
B,3,sample,NA,NA
B,4,sample,NA,NA
B,5,sample,NA,NA
B,6,sample,NA,NA
B,7,sample,NA,NA
B,8,sample,NA,NA
B,9,sample,NA,NA
B,10,sample,NA,NA
B,11,sample,NA,NA
B,12,sample,NA,NA
C,1,sample,NA,NA
C,2,sample,NA,NA
C,3,sample,NA,NA
C,4,sample,NA,NA
C,5,sample,NA,NA
C,6,sample,NA,NA
C,7,sample,NA,NA
C,8,sample,NA,NA
C,9,sample,NA,NA
C,10,sample,NA,NA
C,11,sample,NA,NA
C,12,sample,NA,NA
D,1,sample,NA,SC5314
D,2,sample,NA,SC5314
D,3,sample,NA,SC5314
D,4,sample,NA,fgr41ΔΔ
D,5,sample,NA,fgr41ΔΔ
D,6,sample,NA,fgr41ΔΔ
D,7,sample,NA,ENG1oe
D,8,sample,NA,ENG1oe
D,9,sample,NA,ENG1oe
D,10,sample,NA,fgr41ΔΔENG1oe
D,11,sample,NA,fgr41ΔΔENG1oe
D,12,sample,NA,fgr41ΔΔENG1oe
E,1,sample,NA,SC5314
E,2,sample,NA,SC5314
E,3,sample,NA,SC5314
E,4,sample,NA,fgr41ΔΔ
E,5,sample,NA,fgr41ΔΔ
E,6,sample,NA,fgr41ΔΔ
E,7,sample,NA,ENG1oe
E,8,sample,NA,ENG1oe
E,9,sample,NA,ENG1oe
E,10,sample,NA,fgr41ΔΔENG1oe
E,11,sample,NA,fgr41ΔΔENG1oe
E,12,sample,NA,fgr41ΔΔENG1oe
F,1,mac,NA,NA
F,2,mac,NA,NA
F,3,mac,NA,NA
F,4,mac,NA,NA
F,5,mac,NA,NA
F,6,mac,NA,NA
F,7,rd,NA,NA
F,8,rd,NA,NA
F,9,rd,NA,NA
F,10,rd,NA,NA
F,11,rd,NA,NA
F,12,rd,NA,NA
G,1,standard,2000,NA
G,2,standard,1000,NA
G,3,standard,500,NA
G,4,standard,250,NA
G,5,standard,125,NA
G,6,standard,62.5,NA
G,7,standard,31.1,NA
G,8,standard,NA,NA
G,9,standard,NA,NA
G,10,standard,NA,NA
G,11,standard,NA,NA
G,12,standard,NA,NA
H,1,standard,2000,NA
H,2,standard,1000,NA
H,3,standard,500,NA
H,4,standard,250,NA
H,5,standard,125,NA
H,6,standard,62.5,NA
H,7,standard,31.1,NA
H,8,standard,NA,NA
H,9,standard,NA,NA
H,10,standard,NA,NA
H,11,standard,NA,NA
H,12,standard,NA,NA
